# mu=0.0121504632922363 L1_x=-0.836915727639612 L2_x=-1.15568169499938
orbit_id,x0,y0,z0,vx0,vy0,vz0,T,nu1,nu2,lambda_max
0,-1.01103306697151,0,-0.17315,0,0.0780091972439517,0,1.3632081010627,1.32920893363037,-0.52584380544489,0.196102315890304
1,-1.01139180468248,0,-0.173494115419429,0,0.0788768932683756,0,1.36820784869936,1.33063171237834,-0.542606414406763,0.204251515018068
2,-1.01175128452117,0,-0.173839340143515,0,0.0797438401542563,0,1.37324576574462,1.33196499146103,-0.559411454217009,0.21292874989398
3,-1.01211208323096,0,-0.174182726342109,0,0.0806109748364936,0,1.37829570493605,1.33319664398305,-0.576147162551768,0.222021019299655
4,-1.01247532215979,0,-0.174518341067817,0,0.0814801249996471,0,1.38330468849168,1.33430810594304,-0.592591216675117,0.231327763927384
5,-1.01284007436487,0,-0.174851092257028,0,0.0823497414655342,0,1.38831691481569,1.33531794896101,-0.608928635536611,0.24090165481086
6,-1.01320531319462,0,-0.175186543101472,0,0.0832181173399174,0,1.3933825531352,1.33624402885998,-0.625365661094979,0.25082572925645
7,-1.01357285438968,0,-0.175514963225991,0,0.0840882186721405,0,1.39841449022639,1.3370585025775,-0.641539660772077,0.260802031610288
8,-1.01394245573673,0,-0.175837554541735,0,0.0849596171082591,0,1.40342362406364,1.33776701632143,-0.65749648816844,0.270805184154892
9,-1.01431303765184,0,-0.176160319279019,0,0.0858305323631395,0,1.4084642020358,1.33838641776444,-0.673457464278818,0.280943463411235
10,-1.01468449126485,0,-0.176483918635603,0,0.0867007658397014,0,1.41354242576271,1.33891680855258,-0.689445142483977,0.29119404812552
11,-1.01505831028828,0,-0.17680004317528,0,0.0875727350853198,0,1.41858365811292,1.33934304705648,-0.705153934755003,0.301299325141052
12,-1.0154338922423,0,-0.177112028539811,0,0.0884454348019511,0,1.423618118159,1.33967325185352,-0.720706697279054,0.311314551823499
13,-1.0158103177392,0,-0.177425177938887,0,0.0893173540291776,0,1.42869394151304,1.33991615813483,-0.736295438587846,0.321351038615181
14,-1.0161879683725,0,-0.177737363246073,0,0.0901890912437443,0,1.43379215845241,1.34006775103547,-0.751840825737721,0.33132720620351
15,-1.01656781131101,0,-0.178042997467111,0,0.091062194331021,0,1.43886244308376,1.34012400233131,-0.767140079094429,0.341076058232488
